Date,Pageviews,Clicks,Enrollments,Payments
"Sat, Oct 11",7723.0,687.0,134.0,70.0
"Sun, Oct 12",9102.0,779.0,147.0,70.0
"Mon, Oct 13",10511.0,909.0,167.0,95.0
"Tue, Oct 14",9871.0,836.0,156.0,105.0
"Wed, Oct 15",10014.0,837.0,163.0,64.0
"Thu, Oct 16",9670.0,823.0,138.0,82.0
"Fri, Oct 17",9008.0,748.0,146.0,76.0
"Sat, Oct 18",7434.0,632.0,110.0,70.0
"Sun, Oct 19",8459.0,691.0,131.0,60.0
"Mon, Oct 20",10667.0,861.0,165.0,97.0
"Tue, Oct 21",10660.0,867.0,196.0,105.0
"Wed, Oct 22",9947.0,838.0,162.0,92.0
"Thu, Oct 23",8324.0,665.0,127.0,56.0
"Fri, Oct 24",9434.0,673.0,220.0,122.0
"Sat, Oct 25",8687.0,691.0,176.0,128.0
"Sun, Oct 26",8896.0,708.0,161.0,104.0
"Mon, Oct 27",9535.0,759.0,233.0,124.0
"Tue, Oct 28",9363.0,736.0,154.0,91.0
"Wed, Oct 29",9327.0,739.0,196.0,86.0
"Thu, Oct 30",9345.0,734.0,167.0,75.0
"Fri, Oct 31",8890.0,706.0,174.0,101.0
"Sat, Nov 1",8460.0,681.0,156.0,93.0
"Sun, Nov 2",8836.0,693.0,206.0,67.0
"Mon, Nov 3",9437.0,788.0,,
"Tue, Nov 4",9420.0,781.0,,
"Wed, Nov 5",9570.0,805.0,,
"Thu, Nov 6",9921.0,830.0,,
"Fri, Nov 7",9424.0,781.0,,
"Sat, Nov 8",9010.0,756.0,,
"Sun, Nov 9",9656.0,825.0,,
"Mon, Nov 10",10419.0,874.0,,
"Tue, Nov 11",9880.0,830.0,,
"Wed, Nov 12",10134.0,801.0,,
"Thu, Nov 13",9717.0,814.0,,
"Fri, Nov 14",9192.0,735.0,,
"Sat, Nov 15",8630.0,743.0,,
"Sun, Nov 16",8970.0,722.0,,